plate,temperature
1,34
10,34
11,34
12,34
14,34
15,34
16,34
17,34
18,34
19,34
2,34
21,34
3,34
4,34
5,34
7,34
8,34
9,34
106,10
108,10
109,10
110,10
112,10
113,10
114,10
115,10
119,10
126,10
22,40
30,40
37,40
49,28
56,28
63,28
64,22
65,22
70,22
77,22
84,22
23,40
31,40
38,40
43,28
44,28
45,28
50,28
51,28
52,28
57,28
58,28
59,28
66,22
67,22
46,28
47,28
53,28
54,28
60,28
61,28
68,22
71,22
72,22
32,40
39,40
73,22
74,22
75,22
78,22
79,22
80,22
81,22
82,22
105,16
116,10
117,10
120,10
121,10
122,10
123,10
124,10
85,16
91,16
92,16
98,16
99,16
87,16
100,16
101,16
102,16
103,16
25,40
33,40
40,40
86,16
88,16
89,16
93,16
94,16
95,16
96,16
26,40
34,40
41,40
